#{"t_start": 1741225022.2830396, "env_id": "None"}
r,l,t
-102.73301,2,7.473696
-103.611404,2,7.473716
-103.664185,2,7.489055
-104.622665,4,7.489074
-105.12693,2,7.489079
-100.27656,12,7.489089
-104.40448,2,7.489093
-108.69016,7,7.503599
-105.77188,2,7.503618
-107.72213,3,7.517969
-105.44602,6,7.552165
-103.16974,4,7.552186
-109.073364,10,7.552191
-104.09064,5,7.568185
-105.26287,4,7.583878
-99.91911,6,7.599528
-104.74238,6,7.599548
-106.56053,3,7.599553
-104.87881,2,7.614125
-102.53356,8,7.614144
-107.09795,4,7.614149
-104.56993,2,7.629354
-104.03599,2,7.647434
-103.824776,2,7.662074
-103.80035,4,7.662097
-109.97309,7,7.677363
-112.52375,8,7.677383
-106.04076,6,7.692315
-109.16452,5,7.692335
-107.22306,6,7.70775
-104.38481,2,7.722966
-104.76043,5,7.741294
-107.9866,6,7.741327
-103.56939,4,7.756995
-100.620255,18,7.771364
-98.9744,6,7.771384
-105.70372,3,7.785716
-108.536674,5,7.80134
-99.86442,4,7.816262
-102.93391,2,7.816282
-101.949936,11,7.83199
-106.34099,4,7.832009
-104.065285,2,7.832015
-102.45903,6,7.865737
-105.9356,3,7.881209
-103.67512,4,7.88123
-113.19672,11,7.881237
-109.714355,4,7.881242
-109.52946,13,7.881246
-102.262764,4,7.897032
-104.21745,2,7.912192
-106.18508,12,7.926666
-107.12347,3,7.926685
-104.527336,2,7.94169
-106.3101,5,7.964515
-113.78343,6,7.978667
-107.39043,3,7.978685
-105.79952,6,7.994882
-102.53936,10,7.9949
-105.999695,2,8.010196
-102.55585,3,8.010215
-116.382965,9,8.01022
-102.57685,6,8.02556
-94.21504,34,8.025579
-107.54305,6,8.04012
-105.12693,2,8.040139
-102.15256,5,8.057495
-108.54991,4,8.058824
-104.877144,3,8.073819
-105.12693,2,8.073838
-102.69489,5,8.089981
-101.121254,5,8.090001
-104.53196,14,8.104564
-108.96367,7,8.104584
-100.43357,5,8.10459
-105.39816,4,8.12091
-103.49691,4,8.12093
-104.85334,2,8.135392
-104.109406,2,8.135411
-103.26031,4,8.135419
-105.64162,2,8.151174
-105.85931,4,8.151193
-102.27257,4,8.151199
-108.698,3,8.183701
-107.66884,7,8.183721
-105.13514,5,8.183727
-107.90202,3,8.183732
-105.79719,3,8.183736
-102.425095,10,8.199836
-103.56349,2,8.214813
-108.48002,4,8.214833
-112.77948,6,8.21484
-101.21103,3,8.230267
-110.16061,4,8.245716
-104.159744,2,8.245736
-106.54791,4,8.245741
-99.38883,6,8.245746
-99.18574,8,8.27833
-102.42174,2,8.278349
-106.41459,3,8.293547
-106.27237,6,8.307418
-107.24264,3,8.322791
-103.34919,6,8.32281
-107.415596,5,8.322816
-105.202896,3,8.338438
-105.13485,2,8.353227
-104.184586,7,8.353245
-103.90081,2,8.36762
-102.63907,4,8.367641
-105.71052,4,8.385511
-111.48089,13,8.400344
-105.22477,3,8.400363
-111.28821,13,8.415176
-98.13923,9,8.415196
-103.55509,2,8.429773
-105.84408,3,8.429792
-105.105316,4,8.429798
-109.27881,5,8.445427
-107.8861,17,8.445447
-103.42351,3,8.445453
-103.894005,2,8.460675
-100.7821,8,8.475951
-100.112206,10,8.475971
-107.048035,3,8.492934
-103.465775,2,8.508166
-112.12899,5,8.524589
-101.48986,6,8.539514
-108.01622,5,8.539533
-109.34386,3,8.648879
-109.1687,10,8.663821
-103.735176,2,8.663844
-104.416046,2,8.663851
-113.68979,11,8.679745
-102.552795,7,8.695447
-99.66401,13,8.725453
-104.17898,10,8.725475
-110.0202,4,8.72548
-109.41633,4,8.747407
-103.872665,8,8.77483
-108.703514,3,8.774851
-102.587425,3,8.790018
-105.70816,2,8.805823
-103.69973,2,8.805843
-114.612206,10,8.821162
-102.73822,2,8.821181
-104.924,2,8.855308
-108.980515,8,8.855329
-97.17549,21,8.855334
-107.67255,3,8.855339
-104.07057,13,8.86991
-107.33871,11,8.869931
-106.747116,5,8.884796
-105.918686,4,8.884815
-103.38714,11,8.900631
-104.653275,2,8.900651
-106.04844,3,8.900656
-107.42943,4,8.915407
-103.95702,2,8.915426
-104.79243,5,8.930839
-104.412254,2,8.930859
-103.46614,5,8.930865
-106.01593,2,8.945222
-101.861595,4,8.978353
-102.8461,4,8.993566
-105.062965,2,9.009251
-102.7599,10,9.025027
-103.152245,2,9.025047
-107.157425,9,9.025053
-106.60329,8,9.025057
-105.68882,3,9.055457
-92.44219,28,9.055477
-104.10493,8,9.072313
-110.38684,10,9.087527
-103.77526,5,9.102096
-100.05884,5,9.102115
-112.980675,13,9.102121
-103.77321,2,9.102125
-108.98872,6,9.117919
-102.608826,4,9.117939
-106.01593,2,9.132698
-103.27443,4,9.148852
-104.66139,3,9.148872
-105.20386,3,9.16662
-111.295044,9,9.166641
-104.251205,2,9.166647
-106.01593,2,9.180713
-105.12693,2,9.180733
-100.76198,8,9.180738
-104.278076,17,9.195565
-102.812996,7,9.21118
-102.937485,7,9.226253
-104.19817,2,9.226273
-103.73493,4,9.242305
-103.78072,2,9.256727
-101.55644,4,9.275801
-105.29557,3,9.275822
-103.944176,3,9.305408
-100.402985,13,9.305429
-100.050064,9,9.319959
-105.51966,10,9.319979
-100.81336,9,9.319984
-105.12693,2,9.33465
-114.94253,13,9.364194
-106.85367,3,9.382928
-106.71714,9,9.382949
-103.11006,5,9.398758
-104.794395,8,9.398778
-110.835175,16,9.413787
-104.45435,2,9.413807
-112.83834,6,9.413813
-104.92766,11,9.444826
-101.82489,9,9.444847
-108.18566,5,9.460979
-105.3376,3,9.460999
-104.66572,2,9.475627
-104.26963,10,9.475647
-106.37065,7,9.475653
-104.99664,5,9.475657
-102.93686,4,9.509651
-103.964516,4,9.524526
-103.21121,3,9.524546
-104.527016,2,9.538695
-106.748764,4,9.538714
-103.253044,4,9.53872
-99.68488,9,9.553769
-101.11006,3,9.568324
-108.06248,3,9.568343
-110.299866,7,9.568349
-110.43053,12,9.601325
-105.20131,3,9.616907
-109.68699,3,9.616927
-99.77278,5,9.616932
-106.432625,5,9.616936
-106.64572,6,9.631842
-111.71349,11,9.647174
-104.72291,2,9.647194
-108.52059,3,9.6628
-105.823784,17,9.662819
-105.5111,4,9.677711
-107.03652,4,9.67773
-105.950485,2,9.677736
-101.3814,9,9.692792
-104.987495,2,9.709937
-103.76869,2,9.7248
-105.84634,4,9.72482
-103.76636,8,9.754116
-102.69108,4,9.769637
-105.82255,6,9.769657
-107.69338,11,9.769662
-104.80384,3,9.769667
-102.90111,3,9.769671
-111.73024,9,9.804152
-105.99007,3,9.804187
-103.89221,2,9.804193
-91.65823,16,9.819879
-104.71341,5,9.849974
-104.745544,5,9.849995
-107.17655,3,9.850001
-106.30998,5,9.88068
-102.564186,5,9.880701
-98.85365,15,9.880707
-109.56223,3,9.895205
-107.28181,8,9.895226
-102.831116,2,9.914586
-103.11691,6,9.914619
-104.47468,3,9.927578
